,id,name,address,zip_code,latitude,longitude,rating,review_count,cuisine
23,TqNd-LKHuoYo1_mYwqiBFQ,Nonna Dora’s,"606 2nd Ave, New York, NY 10016",10016,40.74440176159688,-73.97634764480043,4.5,63,italian
91,zRXMvxUX_rOliKZPpkWi_g,Valerie,"45 W 45th St between 5th & 6th Ave, New York, NY 10036",10036,40.756326,-73.981117,4.5,602,italian
144,oRdM7n-AfBPBGAlH4Q0Sag,My Pie Pizzeria Romana,"690 Lexington Ave, New York, NY 10022",10022,40.7608512,-73.9694809,4.5,894,italian
176,06tnwnEQM2j9A6dC3HC_TQ,Capizzi,"547 9th Ave, New York, NY 10018",10018,40.75744,-73.99357,4.0,887,italian
211,1XK53gaHMFQIA4VW3B6k1Q,Abaita,"145 E 49th St, New York, NY 10017",10017,40.755541483222,-73.9718742367706,4.5,110,italian
238,IOHaEgK1zDvUvB3SfKuGCw,Parker & Quinn,"64 W 39th St, New York, NY 10018",10018,40.752586217581296,-73.9850713153442,4.0,1593,italian
249,WIhm0W9197f_rRtDziq5qQ,Lombardi's Pizza,"32 Spring St, New York, NY 10012",10012,40.7215934960083,-73.9955956044561,4.0,6532,italian
285,-vBfKWJ1v9YdJQT5XUbcBQ,Le Botaniste,"833 Lexington Ave, New York, NY 10065",10065,40.7649986274526,-73.9659830279587,4.5,455,italian
303,hq09sqXaYiEogbTrrJ9X5g,Da Capo Columbus,"322 Columbus Ave, New York, NY 10023",10023,40.77972,-73.97752,4.0,157,italian
306,JYNBy2r3LVhJbLHE1bASfg,The Smith,"1900 Broadway, New York, NY 10023",10023,40.7716201269986,-73.9818377981476,4.0,2040,italian
348,kzd10IXi3dTjoPw0TDj8tA,Osteria Nando,"1589 2nd Ave, New York, NY 10028",10028,40.775666,-73.953649,4.0,155,italian
354,8nXo6lNJlXQQIdy8Kf7J9Q,Tessa,"349 Amsterdam Ave, New York, NY 10024",10024,40.7814059,-73.97918,4.0,448,italian
370,Rc1lxc5lSKJYd162JHNMfQ,Bea,"403 W 43rd St, New York, NY 10036",10036,40.7591968,-73.9923361,4.0,2812,italian
371,clOFor0bFSjse7EUfdRacg,Faro,"436 Jefferson St, Brooklyn, NY 11237",11237,40.707407,-73.922839,4.0,325,italian
373,xQ445GaWVN5Aa3sFX9OoIg,Buvette,"42 Grove St, New York, NY 10014",10014,40.732704,-74.00434640955953,4.0,2084,italian
377,c3D2ckzacnPtdGIM8tb-_w,B Side Pizza & Wine Bar,"370 W 51st St, New York, NY 10019",10019,40.76388,-73.98821,4.5,1274,italian
380,b2z0IifTb3zeuEbZ5fx7YQ,Spaghetti Tavern,"425 Amsterdam Ave, New York, NY 10024",10024,40.783999644919156,-73.97748999443762,4.5,71,italian
386,QPEzLkO35OTYijFhs8d7-w,The Reading Room,"16 E 46th St, New York, NY 10017",10017,40.7555,-73.97802,5.0,45,italian
397,u_Cn0KcNrjzun774_dH2cw,Caffe Milano Restaurant,"2117 State Rt 4, Fort Lee, NJ 07024",07024,40.86019,-73.97685,5.0,8,italian
415,2MuvmwOuwvGOWkBimhniLA,La Bellezza,"145 E 49th St, New York, NY 10017",10017,40.7557792663574,-73.9720153808594,4.0,294,italian
419,vgg1dvDP-9tFWSacN4q0nA,Coppelia,"207 W 14th St, New York, NY 10011",10011,40.7389111700125,-73.9999985153443,4.0,1501,italian
422,X97pE0LRWOng1q66kjAz1g,The Independent,"147 W 40th St, New York, NY 10018",10018,40.754782,-73.987377,4.5,195,italian
431,ZlwjT-jygnYqM5qDE0CuLQ,Gigino Trattoria,"323 Greenwich St, New York, NY 10013",10013,40.71726,-74.01055,3.5,269,italian
434,Hh9glEE_xDYT_pPUsRPXlA,Blend on the Water,"45-40 Center Blvd, Long Island City, NY 11109",11109,40.748216,-73.956973,4.0,3741,italian
438,ETgJqJHV7BW6pIr9Ox74sA,Amélie,"22 W 8th St, New York, NY 10011",10011,40.7327,-73.99766,4.5,2893,italian
452,PYnN8fN8o0toVdLXl6z69A,Zillions Pizza,"360 W 42nd St, New York, NY 10036",10036,40.758132,-73.99236,4.0,5,italian
472,MyVbXtvst8X7sbR7gUA_ug,Cacio E Vino,"80 2nd Ave, New York, NY 10003",10003,40.726384,-73.988873,3.5,404,italian
474,MdFV5IBcX-Ni6I4Zy1EqIw,Marlow Bistro,"1018 Amsterdam Ave, New York, NY 10025",10025,40.8028109023738,-73.9641991912535,4.0,346,italian
479,YuzOnNDfRKixNJiaVy5Baw,Roberta's Pizza,"230 Park Ave, New York, NY 10169",10169,40.754393,-73.976103,4.0,248,italian
480,UJe9_p6NEl0kA6xHVo5PKw,Amelie,"566 Amsterdam Ave, New York, NY 10024",10024,40.78875,-73.97464,4.5,279,italian
484,EaNRl3vlDOsNF-gkCR5mBA,La Sirène-UWS,"416 Amsterdam Ave, New York, NY 10024",10024,40.7838,-73.97806,4.0,118,italian
485,nF-EOBd_H1fX50iT1EIVZA,Pil Pil,"265 E 78th St, New York, NY 10075",10075,40.7728412,-73.9558687,4.0,783,italian
486,b-VbRreVGS9HQLwhYol5Xw,Don Filippo Restaurant,"1133 Lexington Ave, New York, NY 10021",10021,40.774562,-73.958892,4.0,191,italian
493,-7PnG_cD9VY-IfHGWzynmQ,Ainslie,"76 Ainslie St, Brooklyn, NY 11211",11211,40.712343,-73.952121,4.0,487,italian
497,GgdR6L49eKH5drPaOYOOPQ,Pop's Pizzas,"301 West 57th St, New York, NY 10019",10019,40.767086,-73.983033,4.5,133,italian
503,NqwwyMMXIS-JnwdDQBQT9A,Bazár Tapas Bar & Restaurant,"31 W 26th St, New York, NY 10010",10010,40.744449,-73.990068,4.0,729,italian
509,k4ds_s6y8S46WzVIolypLQ,Serena's Wine Bar,"1268 2nd Ave, New York, NY 10065",10065,40.7652988,-73.9609017,4.0,159,italian
510,EHINHIbLklEUShuANKjGgw,Tomiño Taberna Gallega,"192 Grand St, New York, NY 10013",10013,40.7192978908919,-73.9969160361937,4.5,394,italian
517,XcfZqLrXdABSZLViQ34VTw,Chelsea Ristorante,"108 8th Ave, New York, NY 10011",10011,40.7405719,-74.0017238,3.5,217,italian
518,SaYTVG7wHCMDBofHCgXPaA,Dutch Freds,"307 W 47th St, New York, NY 10036",10036,40.760835,-73.987823,4.5,1948,italian
521,8qT2fQh1qVhCVtAODADwRw,I Gemelli Ristorante,"268 Huyler St, South Hackensack, NJ 07606",07606,40.87057,-74.04861,4.5,237,italian
529,-tQ9Zlb5d9PPlDz_6UgV7w,Antica Pesa,"115 Berry St, Brooklyn, NY 11249",11249,40.71884,-73.95865,3.5,433,italian
531,QR7eMOsOXxGg26xx4wQUOw,BarDough,"350 W 46th St, New York, NY 10036",10036,40.7603523698496,-73.9898819848895,4.5,228,italian
535,QV8c6gkvQfBt3QMZxCt39A,Cedric's,"545 W 30th St, New York, NY 10001",10001,40.753190206996656,-74.00251611263141,4.0,21,italian
544,xTWpl9DgIkkr5B8h8_xUpA,Lokal 83 Mediterranean Kitchen,"473 Columbus Ave, 83rd street, New York, NY 10024",10024,40.7842696,-73.9734941,4.5,447,italian
550,bEloKDe-QVkwakAwmFKbbA,Frying Pan,"207 12th Avenue, Big Red Boat in Park, New York, NY 10001",10001,40.7521174043978,-74.0090024471283,4.0,1619,italian
551,KEgdfVEVVgJFnGFiLNPDzQ,Sofia Pizza Shoppe,"989 1st Ave, New York, NY 10022",10022,40.75674,-73.96431,4.5,242,italian
555,hDgpiXE5_d4Is1sJ5kUBQg,Wine 30,"41 E 30th St, New York, NY 10016",10016,40.74492841946161,-73.9837861,4.0,828,italian
557,OY70rYTi8Qtmb89IWRUOaQ,Ponti Rossi,"Brooklyn, NY 11222",11222,40.7299690246582,-73.9524078369141,4.0,17,italian
565,kmcgUxWhwlbmC-FAMTEF2g,Cafe d’Alsace,"1703 2nd Ave, New York, NY 10128",10128,40.77942,-73.95084,4.0,1341,italian
566,efgclSozdzhy6tQ2nrAUdA,Maggiano's Little Italy,"70 Riverside Sq Mall, Hackensack, NJ 07601",07601,40.90759133,-74.03096883,3.5,580,italian
573,oLA02lMIfgvbYquvXzkARw,Lillie's Victorian Establishment,"249 W 49th St, New York, NY 10019",10019,40.7614625,-73.9860519,4.0,1577,italian
