,id,name,address,zip_code,latitude,longitude,rating,review_count,cuisine
0,hdiuRS9sVZSMReZm4oV5SA,Da Andrea,"35 W 13th St, New York, NY 10011",10011,40.736218,-73.99597,4.5,1822,italian
1,VmdyRRMtUXOWV7F7w0ImwQ,Piccola Cucina Uptown,"106 E 60th St, New York, NY 10022",10022,40.763174,-73.969046,4.5,284,italian
2,16ZnHpuaaBt92XWeJHCC5A,Olio e Più,"3 Greenwich Ave, New York, NY 10014",10014,40.733798036104304,-73.99977392649927,4.5,4035,italian
3,GjEE8vvjqb7eeHA3BGNxAw,Barolo East,"214 E 49th St, New York, NY 10017",10017,40.75481,-73.97059,4.5,247,italian
4,OWNmOq-TAsHjGcYdCVclSw,Osteria La Baia,"129 W 52nd St, New York, NY 10019",10019,40.76189587672743,-73.9806749,4.5,68,italian
5,hkooeEkd3oPsLD6JJrYpjA,Café Luce,"235 E 53rd St, New York, NY 10022",10022,40.757323,-73.967928,4.5,98,italian
6,Tp3MF3DNXuW41A10PQ2nFw,Amali,"115 E 60th St, New York, NY 10022",10022,40.7633557384716,-73.9686296877489,4.0,498,italian
7,IAbOg5Kd5AynOcbI8vGTwQ,Aperitivo,"14 E 60th St, New York, NY 10022",10022,40.76431314475945,-73.9717568,4.5,52,italian
8,oLg2HxLYChgvMRTK5ZSdKQ,Kurant,"1091 2nd Ave, New York, NY 10022",10022,40.75971,-73.96521,4.0,243,italian
9,rp8S7scxOkVVeG7dNneMGQ,L'Artusi,"228 W 10th St, New York, NY 10014",10014,40.73372,-74.00513,4.5,2237,italian
10,nBy8KtcUHktPFKw-VClG1A,La Pecora Bianca,"950 2nd Ave, New York, NY 10022",10022,40.75495,-73.9682718,4.0,375,italian
11,z8TIY5xLeQptbXxZp3LpsA,Felice 56,"15 W 56th St, New York, NY 10019",10019,40.762862,-73.975396,4.5,88,italian
12,WG639VkTjmK5dzydd1BBJA,Rubirosa,"235 Mulberry St, New York, NY 10012",10012,40.722766,-73.996233,4.5,2914,italian
13,AUifp6IDKzmorCM6vY2fug,Pepe Giallo,"195 10th Ave, New York, NY 10011",10011,40.7468940064083,-74.0049896784992,4.0,760,italian
14,22nKUyCIbpnzR6R3_g1ptQ,Carmine's Italian Restaurant - Times Square,"200 W 44th St, New York, NY 10036",10036,40.75749848725768,-73.98665333142026,4.0,4417,italian
15,s1Epxy3pBMBxJH32snw17w,ALIDORO - The Hugh,"601 Lexington Ave, New York, NY 10022",10022,40.75878,-73.97048,4.0,25,italian
16,3qIISjUYn1tbqHXi7nCLXg,Sofia Wine Bar,"242 E 50th St, New York, NY 10022",10022,40.75502,-73.96913,4.0,736,italian
